id_user,id_rental,id_vehicle,rating,sum_day_of_rental,total_pay
1116,24,MBL0022,5,4,1200000
1233,4,MTR0029,5,2,280000
937,55,MBL0020,4,2,800000
6043,20,MBL005,4,3,1350000
4276,120,MBL0033,5,2,800000
1840,40,MBL005,4,3,1650000
7260,57,MBL0025,5,2,800000
5811,103,MTR0022,4,4,640000
11419,111,MTR0016,5,4,440000
11862,104,MBL0030,5,4,1800000
3320,2,MBL0042,5,4,1000000
12895,107,MTR0038,5,4,680000
4414,91,MBL009,4,4,1600000
9496,100,MBL0024,5,2,1000000
5656,92,MTR003,5,3,360000
4005,111,MTR008,5,4,360000
12217,92,MTR0011,5,4,1080000
2454,116,MTR0016,5,4,520000
12278,25,MBL0032,5,4,3200000
7319,120,MTR0020,5,3,240000
743,118,MTR0020,5,3,300000
6323,40,MBL0042,5,4,1600000
335,68,MBL0028,1,2,700000
1172,92,MTR0013,5,3,720000
13343,8,MTR0023,5,4,480000
409,9,MTR009,4,4,400000
13121,116,MTR0021,5,2,200000
2765,15,MBL0039,4,2,1900000
11855,119,MBL0037,5,3,1500000
12974,23,MBL0017,4,3,1050000
4374,24,MBL0026,5,2,1200000
6528,33,MBL0038,4,3,1500000
10119,82,MBL0037,5,3,3300000
13552,94,MTR0011,5,4,1040000
238,15,MBL0035,5,3,3150000
12980,68,MBL0028,5,2,700000
7855,36,MBL0032,5,4,2200000
9998,34,MBL0027,4,2,1300000
5693,58,MBL0033,5,2,1000000
3382,99,MTR001,5,3,330000
3353,21,MBL0012,5,4,1600000
13510,53,MTR0010,5,4,1200000
10254,110,MTR0028,5,2,340000
163,105,MBL0029,5,4,2200000
8026,15,MBL0025,5,2,1600000
5839,118,MBL0037,5,3,3300000
7225,113,MTR004,4,3,360000
12223,111,MTR0019,4,4,320000
9966,33,MBL0015,4,2,700000
10170,60,MBL007,5,2,1100000
7817,73,MBL0041,5,3,1050000
12243,96,MTR007,5,2,160000
6305,117,MTR009,5,4,400000
1810,71,MBL0035,4,3,1650000
11686,119,MTR0019,5,4,480000
2825,82,MBL001,5,4,2000000
10574,114,MBL007,5,2,600000
2506,5,MBL001,4,4,2200000
9828,109,MTR0010,5,4,1120000
7772,16,MBL0023,4,2,1100000
4406,111,MTR0035,5,3,270000
5216,64,MBL0013,5,2,500000
4545,119,MBL0042,5,4,1000000
9026,106,MTR0010,5,4,1120000
10874,60,MBL0016,5,3,1800000
3940,112,MTR0026,5,3,300000
5551,103,MTR0029,4,2,360000
5560,23,MBL0038,5,3,2100000
12372,88,MBL0032,5,4,3000000
4124,86,MBL0025,4,2,900000
3851,42,MBL005,5,3,1050000
4947,120,MBL0022,5,4,1200000
2300,55,MBL0035,5,3,1800000
11236,34,MBL0025,5,2,900000
797,49,MTR005,5,3,360000
3556,49,MTR0034,5,3,390000
1704,113,MBL0027,5,2,1300000
9507,45,MTR0023,5,4,440000
9933,38,MBL009,5,4,2400000
5502,84,MBL005,4,3,1350000
11295,48,MTR005,5,3,390000
1560,100,MBL0034,5,2,1700000
6998,104,MBL004,5,3,1800000
1474,93,MBL0017,5,3,1500000
3705,4,MTR0027,5,3,450000
4152,64,MBL0015,5,2,500000
7021,46,MTR0025,4,4,520000
5786,70,MBL0038,5,3,1500000
6497,10,MTR0010,5,4,1120000
1862,84,MBL0042,5,4,1200000
6144,2,MBL0033,5,2,1300000
13790,94,MTR005,4,3,300000
10991,34,MBL0010,5,2,600000
6803,47,MTR0032,5,2,160000
2309,82,MBL006,4,4,1200000
1723,37,MBL0015,4,2,700000
3797,84,MBL0030,5,4,1600000
12989,108,MTR0024,5,3,390000
1984,59,MBL0041,5,3,750000
13813,32,MTR0016,5,4,360000
13377,117,MBL0032,5,4,2800000
10712,90,MTR0034,5,3,270000
11490,120,MBL0029,5,4,1400000
11074,85,MBL0042,5,4,1200000
9020,29,MBL0027,5,2,1000000
1619,68,MBL0012,5,4,1200000
100,80,MTR001,5,3,390000
9200,102,MTR006,4,3,390000
8640,43,MTR0030,5,3,540000
5366,57,MBL0012,5,4,1400000
3787,88,MBL0026,5,2,1000000
11764,58,MBL009,4,4,1600000
13661,27,MBL0040,5,2,500000
8595,34,MBL0037,5,3,2700000
12700,105,MBL0015,5,2,600000
296,32,MTR0038,5,4,720000
3649,53,MTR008,4,4,280000
6481,113,MTR0013,5,3,660000
5900,21,MBL0026,5,2,900000
8510,105,MBL0011,4,2,500000
6728,35,MBL0034,5,2,1600000
4294,120,MTR0031,5,3,300000
9735,118,MBL0015,5,2,700000
5983,60,MBL002,5,3,1350000
11136,5,MBL0023,5,2,1100000
7475,20,MBL0036,5,4,3600000
7718,43,MTR004,5,3,300000
6925,64,MBL0025,4,2,1400000
8933,80,MTR005,5,3,270000
350,83,MBL0029,4,4,2400000
1122,13,MBL0037,5,3,1500000
9671,1,MTR0033,5,3,270000
7529,25,MBL0013,5,2,700000
7359,72,MBL0030,4,4,1800000
3059,61,MBL0021,4,2,800000
11957,81,MTR002,5,2,240000
6322,77,MBL0022,5,4,1800000
13404,104,MBL0035,5,3,2550000
1692,27,MBL0024,5,2,900000
10283,97,MBL0042,3,4,1000000
3860,75,MBL0027,4,2,800000
8881,114,MTR0033,5,3,300000
7522,77,MBL0010,5,2,500000
7755,40,MBL0017,4,3,1050000
6822,119,MBL004,3,3,1650000
6102,45,MTR004,3,3,360000
12076,48,MTR0026,5,3,330000
5408,73,MBL006,4,4,2000000
9535,113,MBL0039,4,2,2300000
5997,110,MTR0023,4,4,480000
3756,61,MBL0032,5,4,2600000
413,4,MTR0026,4,3,300000
12507,97,MBL0023,4,2,1100000
12256,115,MBL0016,5,3,1050000
8038,31,MBL001,5,4,2000000
2387,65,MBL0011,5,2,500000
9364,120,MTR0027,5,3,420000
4811,111,MTR0020,4,3,330000
7040,32,MTR006,5,3,300000
6089,45,MTR0035,5,3,360000
4508,23,MBL0042,4,4,1000000
5372,85,MBL003,5,3,1650000
1770,86,MBL0014,5,2,700000
13065,76,MBL003,5,3,1050000
7182,106,MTR0025,5,4,560000
11943,41,MBL0016,3,3,1050000
4689,57,MBL0015,4,2,600000
8042,50,MTR004,5,3,270000
6764,114,MBL009,4,4,2400000
7627,116,MBL0014,4,2,800000
4785,78,MTR0013,5,3,750000
5826,87,MBL0026,4,2,1300000
13753,5,MBL0036,5,4,2000000
12,117,MTR0029,5,2,340000
7947,85,MBL0032,5,4,3000000
9409,85,MBL0014,5,2,800000
9134,18,MBL0024,5,2,900000
3021,82,MBL001,5,4,2000000
5526,105,MBL0021,5,2,600000
10189,114,MBL0037,4,3,2250000
2676,104,MBL0022,5,4,2200000
100,113,MBL0027,5,2,1300000
7269,103,MTR0011,4,4,1160000
9709,5,MBL0015,5,2,700000
7854,82,MBL003,5,3,1650000
5688,4,MTR005,5,3,390000
448,67,MBL001,5,4,1200000
10973,18,MBL0024,5,2,900000
8638,47,MTR0021,5,2,220000
12298,79,MTR001,5,3,330000
4795,119,MBL0023,4,2,900000
11296,75,MBL004,4,3,1050000
4765,22,MBL0029,4,4,1800000
7024,22,MBL009,5,4,1600000
4559,59,MBL0010,5,2,600000
4544,72,MBL0018,5,3,1800000
2174,104,MBL0032,4,4,2400000
7918,112,MTR0015,5,3,720000
6501,116,MTR002,4,2,240000
12485,27,MBL0020,5,2,600000
294,1,MTR0013,5,3,630000
3417,38,MBL0041,5,3,900000
7477,44,MTR0037,4,4,680000
6692,78,MTR009,5,4,280000
2956,113,MBL0037,5,3,4200000
1078,22,MBL0036,5,4,3200000
3670,88,MBL0030,5,4,2200000
6821,63,MBL0039,5,2,1500000
11992,9,MTR0012,4,2,600000
12205,24,MBL0019,5,2,1200000
8921,33,MBL002,5,3,1350000
3768,12,MBL0010,5,2,600000
11802,3,MBL0030,5,4,2200000
12190,15,MBL001,5,4,1600000
6887,104,MBL0024,5,2,900000
3067,17,MBL008,5,3,1050000
12949,94,MTR0022,5,4,400000
9190,18,MBL0034,5,2,1000000
13721,72,MBL002,5,3,1650000
12179,52,MTR0035,5,3,390000
7329,77,MBL0011,5,2,500000
9241,78,MTR0011,5,4,1120000
9257,118,MTR0031,5,3,270000
3038,73,MBL0022,5,4,1200000
12088,93,MBL0020,5,2,800000
4721,86,MBL0031,5,3,1650000
8853,103,MTR0027,5,3,330000
5320,69,MBL0011,5,2,500000
7402,86,MBL0042,5,4,1000000
7888,107,MTR008,4,4,400000
746,30,MBL0016,4,3,900000
3373,116,MBL007,5,2,900000
6754,45,MTR0037,5,4,760000
11774,49,MTR0023,5,4,520000
13066,83,MBL0023,5,2,1100000
9242,25,MBL0025,4,2,900000
11638,116,MBL0011,5,2,700000
2726,49,MTR0033,5,3,240000
6532,120,MTR0030,4,3,540000
4914,94,MTR0019,4,4,440000
1966,6,MTR006,4,3,330000
3676,72,MBL0028,5,2,1100000
8148,5,MBL0022,5,4,2400000
1001,10,MTR0039,4,1,170000
11765,71,MBL0012,5,4,1000000
2593,106,MTR005,4,3,270000
17,70,MBL0031,4,3,1500000
1996,36,MBL0019,4,2,1000000
2011,27,MBL0024,4,2,900000
225,70,MBL0036,4,4,2600000
1764,70,MBL006,4,4,2400000
1543,21,MBL0023,5,2,1000000
4468,84,MBL0028,5,2,1200000
3926,22,MBL0018,5,3,1800000
8122,27,MBL0021,1,2,1100000
13403,11,MBL0018,5,3,1050000
8701,64,MBL0042,5,4,1200000
1604,68,MBL0039,4,2,2100000
3488,69,MBL0037,5,3,3300000
483,90,MTR0028,5,2,300000
842,30,MBL002,5,3,1050000
12908,102,MTR0033,4,3,240000
4882,13,MBL0026,5,2,1300000
12481,103,MTR0010,4,4,1040000
2918,2,MBL0032,5,4,3200000
2607,62,MTR0034,5,3,390000
7912,76,MBL0027,5,2,1300000
13108,2,MBL0038,4,3,3600000
1136,84,MBL0016,5,3,900000
1923,71,MBL009,4,4,1400000
7775,86,MBL0012,4,4,1600000
7953,85,MBL0039,5,2,2800000
9494,12,MBL0021,5,2,1000000
2539,116,MTR0019,5,4,480000
3299,59,MBL0018,5,3,1650000
795,102,MTR0021,4,2,240000
4051,46,MTR0038,4,4,800000
13297,26,MBL009,5,4,1800000
6435,34,MBL0029,4,4,1800000
6241,87,MBL0028,4,2,1000000
9366,102,MTR0026,5,3,420000
1190,75,MBL0011,5,2,700000
12435,96,MTR0024,5,3,360000
6598,34,MBL0018,5,3,900000
6158,120,MTR0030,5,3,540000
188,103,MTR0016,5,4,320000
5256,105,MBL001,5,4,1800000
2093,56,MBL0042,5,4,1400000
10811,84,MBL005,5,3,1350000
4148,96,MTR0016,5,4,360000
6974,106,MTR0024,4,3,420000
12639,23,MBL0028,4,2,700000
9374,55,MBL004,5,3,1200000
12319,23,MBL0027,5,2,1100000
9866,50,MTR0020,5,3,240000
11323,101,MBL0015,5,2,600000
1212,90,MTR003,5,3,420000
13159,16,MBL0023,5,2,1100000
10829,22,MBL009,5,4,1600000
11268,18,MBL0032,4,4,2400000
5334,105,MBL0034,5,2,1600000
3304,34,MBL0040,5,2,700000
2574,92,MTR0027,4,3,300000
2750,102,MTR0013,5,3,690000
10433,78,MTR007,5,2,140000
12717,114,MTR0029,5,2,260000
6290,37,MBL0034,5,2,1900000
1798,22,MBL0024,4,2,1100000
3232,14,MBL0024,4,2,1100000
13314,62,MTR0014,4,4,800000
5608,95,MTR0034,5,3,300000
9129,72,MBL0029,5,4,1800000
11678,119,MBL0033,5,2,800000
9734,102,MTR0015,5,3,720000
6742,83,MBL0018,5,3,1650000
9243,25,MBL0012,2,4,1200000
9153,72,MBL0024,5,2,600000
7512,80,MTR008,5,4,360000
8631,7,MBL0037,5,3,3300000
12677,89,MBL001,4,4,1200000
9788,109,MTR008,4,4,280000
13024,13,MBL007,4,2,1000000
9347,67,MBL0021,5,2,900000
738,114,MTR0024,5,3,300000
3764,76,MBL0011,4,2,500000
4258,114,MTR003,5,3,330000
6370,24,MBL0018,4,3,1050000
12219,104,MBL001,5,4,2000000
4886,18,MBL002,5,3,1200000
5894,48,MTR002,5,2,240000
4353,39,MBL003,5,3,1050000
12695,75,MBL0030,5,4,2000000
4091,44,MTR0013,4,3,630000
11941,97,MBL008,5,3,1350000
6595,12,MBL007,4,2,1200000
4058,50,MTR0018,5,3,390000
6693,108,MTR009,3,4,280000
1156,93,MBL003,5,3,1650000
3470,117,MBL0013,5,2,600000
2223,38,MBL0028,5,2,700000
1400,92,MTR0031,5,3,240000
10675,87,MBL0037,5,3,4050000
6724,111,MTR0017,5,3,270000
6446,89,MBL0013,5,2,500000
739,92,MTR008,5,4,400000
2641,11,MBL0040,4,2,600000
7635,118,MTR008,4,4,360000
9911,114,MTR0017,5,3,300000
12912,34,MBL0017,4,3,1800000
507,40,MBL0012,4,4,1200000
8194,65,MBL0011,5,2,500000
6535,73,MBL0033,5,2,1400000
1464,15,MBL0026,5,2,1400000
10892,12,MBL0026,5,2,800000
12257,36,MBL0018,5,3,1650000
10483,81,MTR0017,5,3,300000
12683,29,MBL0040,5,2,700000
2985,31,MBL002,5,3,900000
11993,47,MTR0015,5,3,600000
9224,56,MBL0014,4,2,700000
9774,12,MBL0025,4,2,1100000
11950,25,MBL006,5,4,1800000
2766,64,MBL0028,5,2,1100000
10352,53,MTR0029,5,2,300000
1163,47,MTR0036,4,2,200000
8598,79,MTR0037,5,4,800000
6373,80,MTR0013,5,3,600000
9237,19,MBL0030,5,4,2400000
553,76,MBL0036,5,4,2800000
3478,43,MTR002,4,2,200000
13268,88,MBL001,5,4,1400000
5790,105,MBL0018,3,3,1650000
4154,119,MBL0012,5,4,1400000
11101,33,MBL006,4,4,2200000
1477,31,MBL0027,5,2,1300000
1816,82,MBL0026,5,2,1200000
5833,75,MBL0011,4,2,700000
12136,81,MTR0033,4,3,300000
5774,96,MTR0036,5,2,240000
6630,45,MTR0012,5,2,540000
12184,101,MBL0040,5,2,500000
10587,44,MTR002,4,2,280000
11483,39,MBL0031,5,3,2400000
6604,35,MBL0011,3,2,500000
2023,90,MTR0025,5,4,400000
3586,37,MBL0040,5,2,600000
13335,75,MBL0035,5,3,2850000
5258,25,MBL0014,5,2,600000
8671,39,MBL0018,5,3,1650000
5505,19,MBL0039,5,2,2300000
1643,24,MBL0024,5,2,700000
1942,23,MBL007,5,2,800000
7361,15,MBL0036,5,4,5600000
1016,9,MTR009,5,4,400000
10264,118,MBL0036,5,4,5200000
1388,79,MTR0033,5,3,300000
7116,117,MTR0038,5,4,760000
10756,30,MBL001,4,4,1600000
11048,66,MBL009,5,4,1400000
3573,71,MBL0018,4,3,1050000
12576,6,MTR004,4,3,270000
3683,72,MBL006,4,4,2200000
12309,28,MBL0010,5,2,700000
1569,94,MTR0013,5,3,600000
6375,29,MBL0038,4,3,2550000
8467,20,MBL0022,5,4,2400000
11870,56,MBL004,4,3,1050000
12259,115,MTR001,5,3,420000
13255,117,MBL0038,5,3,4500000
7843,28,MBL0011,5,2,500000
12504,21,MBL0012,5,4,1600000
10890,60,MBL003,4,3,1050000
11911,115,MBL0011,5,2,600000
8493,28,MBL0033,5,2,1000000
3407,59,MBL0018,5,3,1650000
3490,96,MTR0010,5,4,1200000
2749,47,MTR0030,5,3,480000
5427,13,MBL0024,5,2,800000
3053,88,MBL0041,5,3,900000
8208,87,MBL005,5,3,900000
3025,11,MBL0015,5,2,700000
396,102,MTR0036,5,2,200000
12528,117,MTR0013,5,3,750000
12292,18,MBL0038,5,3,4200000
3569,16,MBL004,4,3,900000
5511,35,MBL0022,4,4,2200000
12583,13,MBL0034,5,2,2100000
9149,88,MBL0023,5,2,900000
8114,94,MTR0013,5,3,600000
12197,35,MBL0025,5,2,1400000
2213,64,MBL0028,4,2,1100000
9058,83,MBL001,5,4,1400000
11932,116,MTR007,5,2,180000
1899,100,MBL0026,5,2,1500000
12738,114,MBL0029,5,4,2400000
13008,117,MBL0023,4,2,1200000
9327,16,MBL0030,4,4,2000000
2517,37,MBL009,5,4,1200000
10258,117,MTR0016,5,4,360000
3340,30,MBL009,5,4,2400000
13186,64,MBL0025,5,2,1400000
4665,5,MBL0019,5,2,900000
3379,100,MBL0023,5,2,1200000
7020,47,MTR0021,5,2,220000
13284,57,MBL002,5,3,1050000
6775,114,MBL009,5,4,2400000
8019,5,MBL0031,5,3,2100000
4351,84,MBL0034,4,2,1400000
4528,61,MBL0010,5,2,700000
12756,77,MBL0024,5,2,800000
8474,92,MTR0027,5,3,300000
5674,45,MTR0035,4,3,360000
1429,68,MBL0015,5,2,700000
2124,115,MBL006,5,4,1400000
12285,110,MTR0011,5,4,1080000
8362,95,MTR0031,5,3,210000
5156,91,MBL0010,5,2,700000
8300,8,MTR009,5,4,280000
11120,18,MBL0010,4,2,600000
7637,100,MBL0024,5,2,1000000
4271,76,MBL0023,4,2,900000
11427,40,MBL0020,5,2,1100000
9628,119,MTR0024,4,3,420000
4820,118,MTR0034,5,3,270000
4031,101,MBL001,5,4,2200000
4060,42,MBL0031,5,3,1950000
102,102,MTR0025,5,4,520000
3317,100,MBL0012,4,4,1600000
6674,94,MTR0029,5,2,260000
1469,89,MBL0011,5,2,700000
11948,2,MBL0014,4,2,500000
9168,81,MTR0029,4,2,280000
7692,89,MBL0022,5,4,2000000
3674,53,MTR006,5,3,330000
2527,62,MTR0016,5,4,400000
10549,86,MBL006,4,4,1600000
12403,5,MBL0027,4,2,900000
7868,50,MTR0021,4,2,180000
7207,46,MTR007,4,2,200000
4061,76,MBL003,5,3,1050000
2215,28,MBL0040,5,2,800000
4447,15,MBL0038,5,3,2700000
7425,6,MTR0017,5,3,390000
1255,35,MBL0017,5,3,1650000
12613,64,MBL0021,5,2,700000
1090,7,MBL0031,4,3,1350000
11380,120,MBL0032,5,4,2600000
13806,81,MTR0036,5,2,260000
9717,61,MBL0041,4,3,1200000
6386,107,MTR0015,5,3,600000
11504,98,MTR007,4,2,180000
1565,77,MBL0014,4,2,700000
11840,114,MBL0037,5,3,2250000
11462,45,MTR003,5,3,450000
1374,11,MBL0032,5,4,2800000
2189,47,MTR0030,5,3,480000
2372,53,MTR003,5,3,450000
8325,107,MTR009,5,4,360000
1886,111,MTR002,5,2,200000
7989,50,MTR0035,5,3,330000
10025,25,MBL0038,5,3,3750000
8025,44,MTR006,5,3,390000
9284,107,MTR0015,5,3,600000
8457,114,MBL003,5,3,1050000
372,45,MTR0015,4,3,690000
10022,28,MBL0021,5,2,900000
9758,10,MTR0013,5,3,720000
6004,71,MBL0019,5,2,1000000
2426,119,MBL0040,4,2,700000
3956,93,MBL0016,5,3,1050000
3207,97,MBL0015,4,2,800000
12953,55,MBL009,5,4,1600000
3859,80,MTR0016,4,4,520000
13479,117,MTR0028,5,2,340000
5687,3,MBL007,4,2,1100000
5929,90,MTR0025,5,4,400000
1879,116,MTR0021,5,2,200000
1957,70,MBL0041,5,3,1200000
3773,118,MTR0020,5,3,300000
6238,98,MTR006,5,3,360000
12969,40,MBL0016,5,3,1200000
9798,112,MTR0017,4,3,330000
6471,79,MTR0022,5,4,560000
2693,110,MTR001,5,3,360000
9768,9,MTR006,5,3,300000
1510,88,MBL0025,5,2,1500000
9046,62,MTR0020,5,3,270000
11542,114,MBL0011,5,2,500000
11022,3,MBL0040,5,2,800000
7573,2,MBL004,4,3,1050000
12799,72,MBL0038,5,3,3300000
4433,72,MBL0038,4,3,3300000
1493,5,MBL0011,4,2,600000
10408,12,MBL001,5,4,2000000
8134,96,MTR0012,5,2,540000
2803,52,MTR0023,5,4,520000
1330,2,MBL0041,5,3,900000
1013,62,MTR0028,5,2,360000
694,88,MBL003,4,3,1200000
7478,18,MBL0016,4,3,1350000
9440,75,MBL0036,5,4,4200000
4906,114,MTR0012,5,2,520000
9209,64,MBL002,4,3,1050000
8864,65,MBL002,4,3,1350000
10554,36,MBL0034,5,2,1600000
81,110,MTR0018,5,3,240000
7243,114,MTR0039,5,1,150000
9997,101,MBL009,5,4,2200000
8692,82,MBL0031,5,3,1350000
7591,50,MTR0020,5,3,240000
1721,90,MTR0023,4,4,560000
5847,6,MTR007,5,2,180000
6462,14,MBL0023,5,2,800000
12676,96,MTR0033,4,3,270000
4375,106,MTR0030,4,3,510000
200,50,MTR004,5,3,270000
315,74,MBL0030,5,4,1400000
3323,7,MBL001,5,4,1400000
3947,56,MBL0035,4,3,2700000
8389,62,MTR0027,5,3,360000
7388,99,MTR0014,5,4,880000
12058,18,MBL0029,5,4,1600000
3128,101,MBL0013,5,2,700000
11508,14,MBL0039,5,2,1000000
4711,94,MTR0013,5,3,600000
1447,83,MBL0038,4,3,3000000
10306,26,MBL008,5,3,1200000
11961,7,MBL002,5,3,1350000
9635,51,MTR001,5,3,330000
7623,107,MTR004,5,3,390000
9187,95,MTR003,4,3,390000
4356,44,MTR0013,5,3,630000
8914,113,MTR004,4,3,360000
8562,39,MBL0020,5,2,700000
4063,44,MTR0011,5,4,1080000
1245,83,MBL0016,5,3,1500000
23,31,MBL0022,5,4,1800000
12512,44,MTR006,5,3,390000
11361,50,MTR0019,4,4,400000
320,39,MBL0027,5,2,1200000
13413,114,MTR0026,5,3,330000
4699,39,MBL001,4,4,2400000
3527,94,MTR0022,4,4,400000
12443,65,MBL0010,5,2,600000
5400,64,MBL0039,5,2,1400000
6344,74,MBL0034,4,2,2300000
10071,61,MBL0036,5,4,4200000
11041,87,MBL001,5,4,1600000
1888,42,MBL008,5,3,1800000
7612,85,MBL0041,5,3,1200000
12527,72,MBL0022,4,4,1600000
9941,3,MBL0027,5,2,1000000
3827,76,MBL001,5,4,2400000
8898,20,MBL0013,5,2,600000
13438,28,MBL0035,5,3,2850000
10370,31,MBL0017,5,3,1500000
194,110,MTR004,5,3,270000
10041,114,MBL001,5,4,2200000
6937,79,MTR0018,5,3,270000
2044,17,MBL0016,4,3,1350000
3862,51,MTR0031,5,3,210000
5777,59,MBL0029,4,4,1200000
5647,55,MBL003,5,3,1500000
8316,90,MTR001,5,3,330000
9944,67,MBL009,4,4,1200000
1961,80,MTR0038,5,4,640000
11169,75,MBL0015,4,2,800000
10193,28,MBL0041,4,3,750000
9566,20,MBL0038,5,3,4500000
8607,23,MBL008,4,3,900000
3571,44,MTR0023,5,4,600000
13451,91,MBL0023,4,2,800000
6478,79,MTR0021,5,2,160000
3223,35,MBL0019,3,2,900000
5404,58,MBL0017,5,3,1800000
11521,120,MTR0024,5,3,420000
4052,19,MBL005,4,3,1800000
9743,32,MTR0022,4,4,400000
4739,29,MBL003,4,3,1350000
12002,17,MBL0031,5,3,2250000
1058,102,MTR0039,5,1,180000
5914,78,MTR0011,5,4,1120000
7036,3,MBL0022,5,4,2000000
